id,names,city,state,date,alleged_crime,full_location,longitude,latitude
221,James Nelson,Abbeyville,South Carolina,"July 12, 1894",Giving Information,"Abbeyville, South Carolina",-82.3790147,34.1781719
222,Alfred Davis,Live Oak County,Arkansas,"Jan. 5, 1894",Stealing,"Live Oak County, Arkansas",,
223,Henry Montgomery,Lewisburg,Tennessee,"April 18, 1894",Larceny,"Lewisburg, Tennessee",-86.7888887,35.4492404
224,John Brownlee,Oxford,Alabama,"July 19, 1894",Political Causes,"Oxford, Alabama",-85.8349648,33.6142714
225,Allen Myers,Rankin County,Mississippi,"July 20, 1894",Conjuring,"Rankin County, Mississippi",-89.9253233,32.2653668
226,Frank Ballard,Jackson,Tennessee,"June 1, 1894",Attempted Murder,"Jackson, Tennessee",-88.8139469,35.6145169
227,Negro,Selma,Alabama,"April 5, 1894",Alleged Murder,"Selma, Alabama",-87.0211007,32.4073589
228,Samuel Wood,Gates City,Virginia,"May 17, 1894",Without Cause,"Gates City, Virginia",-82.5809876,36.6378774
229,"Thomas Black, John Williams, Toney Johnson",Tuscumbia,Alabama,"April 22, 1894",Barn Burning,"Tuscumbia, Alabama",-87.70253,34.7312005
230,William Bell,Dixon,Tennessee,"July 14, 1894",Barn Burning,"Dixon, Tennessee",-87.3877899,36.0770048
231,"Daniel Hawkins, Robert Haynes, Warner Williams, Edward Hall, John Haynes, Graham White",Millington,Tennessee,"Sept. 1, 1894",Barn Burning,"Millington, Tennessee",-89.8973084,35.3414744
232,William Brooks,Galesline,Arkansas,"May 23, 1894",Asking White Woman to Marry Him,"Galesline, Arkansas",-91.8318334,35.20105
